TMZ,AZD7762,Intensity
5000,100,6
5000,100,9
2500,100,16
2500,100,28
1250,100,487
1250,100,436
625,100,1791
625,100,1704
312.5,100,724
312.5,100,2495
156.25,100,286
156.25,100,343
78.125,100,249
78.125,100,270
39.0625,100,295
39.0625,100,294
19.53125,100,413
19.53125,100,392
9.765625,100,2032
9.765625,100,2264
0,100,1586
0,100,1401
0,100,230
0,100,305
5000,100,9
5000,100,10
2500,100,26
2500,100,30
1250,100,382
1250,100,273
625,100,1829
625,100,1989
312.5,100,592
312.5,100,2747
156.25,100,319
156.25,100,325
78.125,100,228
78.125,100,266
39.0625,100,207
39.0625,100,190
19.53125,100,194
19.53125,100,206
9.765625,100,200
9.765625,100,205
0,100,222
0,100,239
0,100,235
0,100,199
5000,17.74,8
5000,17.74,7
2500,17.74,110
2500,17.74,144
1250,17.74,1071
1250,17.74,1116
625,17.74,503
625,17.74,555
312.5,17.74,592
312.5,17.74,603
156.25,17.74,851
156.25,17.74,814
78.125,17.74,922
78.125,17.74,1565
39.0625,17.74,822
39.0625,17.74,756
19.53125,17.74,974
19.53125,17.74,786
9.765625,17.74,742
9.765625,17.74,721
0,17.74,736
0,17.74,912
0,17.74,842
0,17.74,596
5000,17.74,9
5000,17.74,4
2500,17.74,122
2500,17.74,119
1250,17.74,1092
1250,17.74,923
625,17.74,787
625,17.74,659
312.5,17.74,556
312.5,17.74,741
156.25,17.74,716
156.25,17.74,698
78.125,17.74,713
78.125,17.74,761
39.0625,17.74,1110
39.0625,17.74,871
19.53125,17.74,842
19.53125,17.74,905
9.765625,17.74,854
9.765625,17.74,718
0,17.74,845
0,17.74,855
0,17.74,1013
0,17.74,834
5000,6.103,2
5000,6.103,3
2500,6.103,551
2500,6.103,612
1250,6.103,3459
1250,6.103,4947
625,6.103,4321
625,6.103,5606
312.5,6.103,4495
312.5,6.103,4613
156.25,6.103,5462
156.25,6.103,6322
78.125,6.103,6001
78.125,6.103,6763
39.0625,6.103,6679
39.0625,6.103,6232
19.53125,6.103,5872
19.53125,6.103,5938
9.765625,6.103,5203
9.765625,6.103,5051
0,6.103,5583
0,6.103,6132
0,6.103,5091
0,6.103,5041
5000,6.103,5
5000,6.103,13
2500,6.103,1036
2500,6.103,574
1250,6.103,3369
1250,6.103,7522
625,6.103,3893
625,6.103,4357
312.5,6.103,4601
312.5,6.103,4729
156.25,6.103,5971
156.25,6.103,7127
78.125,6.103,7085
78.125,6.103,5891
39.0625,6.103,6738
39.0625,6.103,6342
19.53125,6.103,5933
19.53125,6.103,5897
9.765625,6.103,5488
9.765625,6.103,5458
0,6.103,6446
0,6.103,6176
0,6.103,5488
0,6.103,4469
5000,0.5,21
5000,0.5,64
2500,0.5,9020
2500,0.5,10646
1250,0.5,16620
1250,0.5,16998
625,0.5,11439
625,0.5,11723
312.5,0.5,12181
312.5,0.5,11443
156.25,0.5,15821
156.25,0.5,13857
78.125,0.5,18372
78.125,0.5,18737
39.0625,0.5,17842
39.0625,0.5,19258
19.53125,0.5,19272
19.53125,0.5,18325
9.765625,0.5,19434
9.765625,0.5,19952
0,0.5,18400
0,0.5,18890
0,0.5,18757
0,0.5,17691
5000,0.5,8
5000,0.5,76
2500,0.5,9488
2500,0.5,10152
1250,0.5,14424
1250,0.5,14341
625,0.5,10947
625,0.5,11511
312.5,0.5,10319
312.5,0.5,10872
156.25,0.5,16594
156.25,0.5,16474
78.125,0.5,18053
78.125,0.5,19955
39.0625,0.5,19168
39.0625,0.5,18576
19.53125,0.5,16160
19.53125,0.5,19360
9.765625,0.5,17697
9.765625,0.5,18658
0,0.5,18939
0,0.5,17833
0,0.5,17003
0,0.5,16744
5000,0.275,8
5000,0.275,98
2500,0.275,11289
2500,0.275,9273
1250,0.275,17748
1250,0.275,18720
625,0.275,12182
625,0.275,11929
312.5,0.275,13873
312.5,0.275,13271
156.25,0.275,19380
156.25,0.275,19642
78.125,0.275,19568
78.125,0.275,22437
39.0625,0.275,19521
39.0625,0.275,20414
19.53125,0.275,21255
19.53125,0.275,18679
9.765625,0.275,17986
9.765625,0.275,18742
0,0.275,19243
0,0.275,18817
0,0.275,19185
0,0.275,18332
5000,0.275,12
5000,0.275,89
2500,0.275,10761
2500,0.275,11349
1250,0.275,20263
1250,0.275,17968
625,0.275,12894
625,0.275,15332
312.5,0.275,16500
312.5,0.275,11659
156.25,0.275,19344
156.25,0.275,17537
78.125,0.275,22318
78.125,0.275,25587
39.0625,0.275,21895
39.0625,0.275,20917
19.53125,0.275,25784
19.53125,0.275,21130
9.765625,0.275,20237
9.765625,0.275,19130
0,0.275,19775
0,0.275,18627
0,0.275,18575
0,0.275,19209
5000,0.05,15
5000,0.05,70
2500,0.05,10187
2500,0.05,10491
1250,0.05,18061
1250,0.05,18229
625,0.05,14995
625,0.05,15297
312.5,0.05,18561
312.5,0.05,18647
156.25,0.05,26868
156.25,0.05,26764
78.125,0.05,29572
78.125,0.05,32901
39.0625,0.05,28819
39.0625,0.05,30559
19.53125,0.05,29501
19.53125,0.05,30442
9.765625,0.05,27770
9.765625,0.05,30261
0,0.05,27248
0,0.05,26966
0,0.05,27358
0,0.05,25679
5000,0.05,15
5000,0.05,75
2500,0.05,10378
2500,0.05,12251
1250,0.05,18513
1250,0.05,18752
625,0.05,14963
625,0.05,15798
312.5,0.05,18282
312.5,0.05,18462
156.25,0.05,29790
156.25,0.05,27835
78.125,0.05,32060
78.125,0.05,33831
39.0625,0.05,31436
39.0625,0.05,30025
19.53125,0.05,29803
19.53125,0.05,28211
9.765625,0.05,28479
9.765625,0.05,28314
0,0.05,27706
0,0.05,27433
0,0.05,27571
0,0.05,24965
5000,0,8
5000,0,65
2500,0,10442
2500,0,10950
1250,0,19736
1250,0,20358
625,0,18356
625,0,20646
312.5,0,21632
312.5,0,22551
156.25,0,27227
156.25,0,26560
78.125,0,31523
78.125,0,30920
39.0625,0,29164
39.0625,0,28981
19.53125,0,29365
19.53125,0,26740
9.765625,0,23121
9.765625,0,26229
0,0,25424
0,0,24095
0,0,24759
0,0,24603
5000,0,35
5000,0,88
2500,0,11018
2500,0,12252
1250,0,19350
1250,0,19180
625,0,20772
625,0,19708
312.5,0,22276
312.5,0,21492
156.25,0,27447
156.25,0,27121
78.125,0,29421
78.125,0,30834
39.0625,0,29377
39.0625,0,28316
19.53125,0,27983
19.53125,0,26350
9.765625,0,24362
9.765625,0,26232
0,0,24920
0,0,25864
0,0,24464
0,0,24046
5000,0,21
5000,0,105
2500,0,11474
2500,0,12136
1250,0,20383
1250,0,19823
625,0,21425
625,0,20930
312.5,0,22383
312.5,0,22983
156.25,0,28970
156.25,0,28077
78.125,0,29110
78.125,0,29761
39.0625,0,29165
39.0625,0,29719
19.53125,0,28488
19.53125,0,27593
9.765625,0,25701
9.765625,0,27202
0,0,25374
0,0,25277
0,0,24751
0,0,20976
5000,0,6
5000,0,57
2500,0,9652
2500,0,10777
1250,0,18959
1250,0,19335
625,0,19463
625,0,19982
312.5,0,20730
312.5,0,20923
156.25,0,27379
156.25,0,26715
78.125,0,28012
78.125,0,28066
39.0625,0,27800
39.0625,0,28559
19.53125,0,26486
19.53125,0,25438
9.765625,0,24759
9.765625,0,24925
0,0,24860
0,0,23951
0,0,23572
0,0,20573